Point,Species
1.1,swamp white oak
1.2,ash
1.3,sugar maple
1.4,ash
2.1,basswood
2.2,norway maple
2.3,silver maple
2.4,ash
3.1,swamp white oak
3.2,sugar maple
3.3,swamp white oak
3.4,ash
4.1,swamp white oak
4.2,basswood
4.3,swamp white oak
4.4,ash
5.1,basswood
5.2,swamp white oak
5.3,red oak
5.4,swamp white oak
6.1,basswood
6.2,red oak
6.3,basswood
6.4,ash
7.1,red oak
7.2,swamp white oak
7.3,bur oak
7.4,bur oak
8.1,ash
8.2,ash
8.3,ash
8.4,basswood
9.1,basswood
9.2,silver maple
9.3,ash
9.4,ash
10.1,swamp white oak
10.2,ash
10.3,ash
10.4,basswood
11.1,swamp white oak
11.2,ash
11.3,swamp white oak
11.4,swamp white oak
12.1,bur oak
12.2,swamp white oak
12.3,silver maple
12.4,ash
13.1,basswood
13.2,swamp white oak
13.3,basswood
13.4,red oak
14.1,norway maple
14.2,ash
14.3,basswood
14.4,norway maple
15.1,ash
15.2,sugar maple
15.3,sugar maple
15.4,sugar maple
16.1,ash
16.2,ash
16.3,sugar maple
16.4,ash
17.1,ash
17.2,ash
17.3,ash
17.4,swamp white oak
18.1,ash
18.2,sugar maple
18.3,swamp white oak
18.4,sugar maple
19.1,ash
19.2,ash
19.3,basswood
19.4,white oak
20.1,ash
20.2,ash
20.3,basswood
20.4,white oak
21.1,ash
21.2,black cherry
21.3,swamp white oak
21.4,swamp white oak
22.1,swamp white oak
22.2,ash
22.3,swamp white oak
22.4,sugar maple
23.1,elm
23.2,silver maple
23.3,shagbark hickory
23.4,ash
24.1,shagbark hickory
24.2,ash
24.3,ash
24.4,elm
25.1,ash
25.2,sugar maple
25.3,basswood
25.4,ash
26.1,ash
26.2,ash
26.3,sugar maple
26.4,red oak
27.1,swamp white oak
27.2,shagbark hickory
27.3,ash
27.4,silver maple
28.1,swamp white oak
28.2,ash
28.3,ash
28.4,ash
29.1,red oak
29.2,white oak
29.3,swamp white oak
29.4,bur oak
30.1,bur oak
30.2,bur oak
30.3,ash
30.4,red oak
31.1,elm
31.2,butternut
31.3,black cherry
31.4,ash
32.1,ash
32.2,basswood
32.3,red oak
32.4,basswood
33.1,box elder
33.2,ash
33.3,ash
33.4,ash
34.1,basswood
34.2,silver maple
34.3,basswood
34.4,ash
35.1,ash
35.2,ash
35.3,bur oak
35.4,ash
36.1,red oak
36.2,red oak
36.3,shagbark hickory
36.4,basswood
37.1,red oak
37.2,white oak
37.3,bur oak
37.4,ash
38.1,swamp white oak
38.2,white oak
38.3,silver maple
38.4,bur oak
39.1,silver maple
39.2,shagbark hickory
39.3,ash
39.4,silver maple
40.1,elm
40.2,ash
40.3,silver maple
40.4,ash
41.1,silver maple
41.2,silver maple
41.3,silver maple
41.4,silver maple
42.1,swamp white oak
42.2,ash
42.3,silver maple
42.4,swamp white oak
